pedestrian,209,983,85,148
pedestrian,2061,945,64,123
pedestrian,2162,528,41,86
pedestrian,1826,1136,72,136
pedestrian,2048,781,63,134
pedestrian,2025,658,54,90
people,1380,907,64,93
people,1956,588,39,76
people,42,1185,75,115
people,1531,566,41,71
people,1648,906,60,116
people,687,553,41,72
bicycle,1384,950,65,82
bicycle,32,1222,95,125
bicycle,1515,599,80,51
bicycle,1693,776,43,84
bicycle,1239,658,57,60
bicycle,683,575,52,61
car,341,824,280,165
car,658,712,279,128
car,268,677,225,124
car,421,1021,361,216
car,0,729,171,175
car,1701,352,99,71
car,1791,386,102,72
car,139,535,203,105
car,1928,285,88,66
car,229,395,127,88
car,1624,339,110,71
car,1772,312,94,68
car,1214,297,121,59
car,1708,300,100,59
car,2153,263,74,51
car,1,514,50,69
car,189,348,81,63
motor,72,692,83,61
motor,1967,524,38,49
motor,74,558,48,46
motor,1953,609,40,67
motor,1642,927,62,103
motor,2061,415,34,56
motor,1630,327,26,38
motor,890,639,82,79
motor,54,155,25,46
motor,1077,736,43,69
motor,1691,785,41,76
motor,1831,809,47,74
